Round Number,Date,Location,Home Team,Away Team,Result
31,17/03/2018 15:00,Turf Moor,Burnley,Chelsea,
31,17/03/2018 15:00,John Smith's Stadium,Huddersfield,Crystal Palace,
31,17/03/2018 15:00,King Power Stadium,Leicester,Arsenal,
31,17/03/2018 15:00,Anfield,Liverpool,Watford,
31,17/03/2018 15:00,Etihad Stadium,Man City,Brighton,
31,17/03/2018 15:00,bet365 Stadium,Stoke,Everton,
31,17/03/2018 15:00,Liberty Stadium,Swansea,Southampton,
31,17/03/2018 15:00,Wembley Stadium,Spurs,Newcastle,
31,17/03/2018 15:00,London Stadium,West Ham,Man Utd,
32,31/03/2018 14:00,Emirates Stadium,Arsenal,Stoke,
32,31/03/2018 14:00,Amex Stadium,Brighton,Leicester,
32,31/03/2018 14:00,Stamford Bridge,Chelsea,Spurs,
32,31/03/2018 14:00,Selhurst Park,Crystal Palace,Liverpool,
32,31/03/2018 14:00,Goodison Park,Everton,Man City,
32,31/03/2018 14:00,Old Trafford,Man Utd,Swansea,
32,31/03/2018 14:00,St. James' Park,Newcastle,Huddersfield,
32,31/03/2018 14:00,St. Mary's Stadium,Southampton,West Ham,
32,31/03/2018 14:00,Vicarage Road,Watford,Bournemouth,
32,31/03/2018 14:00,The Hawthorns,West Brom,Burnley,
33,07/04/2018 14:00,Emirates Stadium,Arsenal,Southampton,
33,07/04/2018 14:00,Vitality Stadium,Bournemouth,Crystal Palace,
33,07/04/2018 14:00,Amex Stadium,Brighton,Huddersfield,
33,07/04/2018 14:00,Stamford Bridge,Chelsea,West Ham,
33,07/04/2018 14:00,Goodison Park,Everton,Liverpool,
33,07/04/2018 14:00,King Power Stadium,Leicester,Newcastle,
33,07/04/2018 14:00,Etihad Stadium,Man City,Man Utd,
33,07/04/2018 14:00,bet365 Stadium,Stoke,Spurs,
33,07/04/2018 14:00,Vicarage Road,Watford,Burnley,
33,07/04/2018 14:00,The Hawthorns,West Brom,Swansea,
34,14/04/2018 14:00,Turf Moor,Burnley,Leicester,
34,14/04/2018 14:00,Selhurst Park,Crystal Palace,Brighton,
34,14/04/2018 14:00,John Smith's Stadium,Huddersfield,Watford,
34,14/04/2018 14:00,Anfield,Liverpool,Bournemouth,
34,14/04/2018 14:00,Old Trafford,Man Utd,West Brom,
34,14/04/2018 14:00,St. James' Park,Newcastle,Arsenal,
34,14/04/2018 14:00,St. Mary's Stadium,Southampton,Chelsea,
34,14/04/2018 14:00,Liberty Stadium,Swansea,Everton,
34,14/04/2018 14:00,Wembley Stadium,Spurs,Man City,
34,14/04/2018 14:00,London Stadium,West Ham,Stoke,
35,21/04/2018 14:00,Emirates Stadium,Arsenal,West Ham,
35,21/04/2018 14:00,Vitality Stadium,Bournemouth,Man Utd,
35,21/04/2018 14:00,Amex Stadium,Brighton,Spurs,
35,21/04/2018 14:00,Stamford Bridge,Chelsea,Huddersfield,
35,21/04/2018 14:00,Goodison Park,Everton,Newcastle,
35,21/04/2018 14:00,King Power Stadium,Leicester,Southampton,
35,21/04/2018 14:00,Etihad Stadium,Man City,Swansea,
35,21/04/2018 14:00,bet365 Stadium,Stoke,Burnley,
35,21/04/2018 14:00,Vicarage Road,Watford,Crystal Palace,
35,21/04/2018 14:00,The Hawthorns,West Brom,Liverpool,
36,28/04/2018 14:00,Turf Moor,Burnley,Brighton,
36,28/04/2018 14:00,Selhurst Park,Crystal Palace,Leicester,
36,28/04/2018 14:00,John Smith's Stadium,Huddersfield,Everton,
36,28/04/2018 14:00,Anfield,Liverpool,Stoke,
36,28/04/2018 14:00,Old Trafford,Man Utd,Arsenal,
36,28/04/2018 14:00,St. James' Park,Newcastle,West Brom,
36,28/04/2018 14:00,St. Mary's Stadium,Southampton,Bournemouth,
36,28/04/2018 14:00,Liberty Stadium,Swansea,Chelsea,
36,28/04/2018 14:00,Wembley Stadium,Spurs,Watford,
36,28/04/2018 14:00,London Stadium,West Ham,Man City,
37,05/05/2018 14:00,Emirates Stadium,Arsenal,Burnley,
37,05/05/2018 14:00,Vitality Stadium,Bournemouth,Swansea,
37,05/05/2018 14:00,Amex Stadium,Brighton,Man Utd,
37,05/05/2018 14:00,Stamford Bridge,Chelsea,Liverpool,
37,05/05/2018 14:00,Goodison Park,Everton,Southampton,
37,05/05/2018 14:00,King Power Stadium,Leicester,West Ham,
37,05/05/2018 14:00,Etihad Stadium,Man City,Huddersfield,
37,05/05/2018 14:00,bet365 Stadium,Stoke,Crystal Palace,
37,05/05/2018 14:00,Vicarage Road,Watford,Newcastle,
37,05/05/2018 14:00,The Hawthorns,West Brom,Spurs,
38,13/05/2018 14:00,Turf Moor,Burnley,Bournemouth,
38,13/05/2018 14:00,Selhurst Park,Crystal Palace,West Brom,
38,13/05/2018 14:00,John Smith's Stadium,Huddersfield,Arsenal,
38,13/05/2018 14:00,Anfield,Liverpool,Brighton,
38,13/05/2018 14:00,Old Trafford,Man Utd,Watford,
38,13/05/2018 14:00,St. James' Park,Newcastle,Chelsea,
38,13/05/2018 14:00,St. Mary's Stadium,Southampton,Man City,
38,13/05/2018 14:00,Liberty Stadium,Swansea,Stoke,
38,13/05/2018 14:00,Wembley Stadium,Spurs,Leicester,
38,13/05/2018 14:00,London Stadium,West Ham,Everton,
